t,x,y,z,vx,vy,vz,thetas,omegas,CPs,CGs,masavuelo,viento_mags,viento_dirs,viento_vecs,wind_xs,wind_ys,wind_zs,Tmags,Dmags,Nmags,Txs,Tys,Tzs,Dxs,Dys,Dzs,Nxs,Nys,Nzs,accels,palancas,accangs,Gammas,Alphas,torcas,Cds,Machs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5184364492350666,0.0,2.830679366272703,2.954479837293398,42.0466893,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,22.22946,0.0,0.0,1.1634000458642733,0.0,22.19899529764541,0.0,0.0,0.0,0.0,0.0,0.0,[ 0.02766924  0.         -9.29228907],[0.00647922 0.         0.12363081],-0.0,0.0,1.5184364492350666,-0.0,0.503,0.0
0.01,1.3619199787434682e-06,0.0,-0.0004650255935552064,0.0002798818208712035,0.0,-0.0928620698791073,1.5184364492350666,0.0,2.830679366272703,2.954488009393641,42.0099155,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,26.114220000000003,4.8183255614585646e-05,2.8519029576712528e-05,1.3667126752386123,0.0,26.07843136907859,-1.4522135984952797e-07,-0.0,4.818303676997894e-05,2.8518900045494023e-05,-0.0,8.595459571779951e-08,[ 0.03253377  0.         -9.19948005],[0.00647964 0.         0.12363897],-1.030379478174827e-07,-1.567782383924931,3.0862188331599976,-3.1953264747314488e-06,0.5027271109851075,0.0002728890148924906
0.02,5.747613697121956e-06,0.0,-0.0018543803858733247,0.0006047568193439576,0.0,-0.18486583626598624,1.5184364492350666,0.0,2.830679366272703,2.9544922241633613,41.976005300000004,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,29.998980000000007,0.000190853388196216,0.00011354916093763885,1.5700253046129515,0.0,29.957867440511773,-6.243407259814353e-07,-0.0,0.0001908523669872433,0.00011354855336434353,-0.0,3.7145458220266407e-07,[ 0.03740561  0.         -9.10655483],[0.00647986 0.         0.12364318],-4.1032865194754984e-07,-1.567525010286196,3.0859614595212626,-1.2723203956629263e-05,0.5024567437918955,0.0005432562081045011
0.03,1.3607074758450734e-05,0.0,-0.004159481238451417,0.0009746373293694388,0.0,-0.27601127854598284,1.5184364492350666,0.0,2.830679366272703,2.9544934500373814,41.9443554,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,33.883739999999996,0.00042521590888704614,0.0002543001609610201,1.7733379339872903,0.0,33.837303511944945,-1.5014919545090426e-06,-0.0,0.0004252132578983718,0.00025429857553857353,-0.0,8.979665100318601e-07,[ 0.04228437  0.         -9.01352065],[0.00647993 0.         0.1236444 ],-9.191085839373252e-07,-1.5672651910978013,3.085701640332868,-2.849577368591761e-05,0.5021888984345911,0.0008111015654088688
0.04,2.539041916089717e-05,0.0,-0.007371744809672094,0.0013895354960271299,0.0,-0.36629837670964127,1.5184364492350666,0.0,2.830679366272703,2.9544924749304418,41.9144378,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,37.768499999999996,0.0007485094546944093,0.0004499820593131962,1.9766505633616294,0.0,37.71673958337812,-2.8394146387099786e-06,-0.0,0.000748504069121492,0.00044997882166378955,-0.0,1.7069732898596267e-06,[ 0.04716985  0.         -8.92038102],[0.00647988 0.         0.12364343],-1.626588704470063e-06,-1.5670028924824182,3.0854393417174846,-5.0424573067263447e-05,0.5019235749243254,0.0010764250756746172
0.05,4.154788341056517e-05,0.0,-0.011482587560818963,0.0018494632758845227,0.0,-0.45572711134540217,1.5184364492350666,0.0,2.830679366272703,2.954489907897802,41.885818400000005,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,41.65326000000001,0.0011580055930864078,0.0006998051388261614,2.179963192735969,0.0,41.59617565481131,-4.699459672814866e-06,-0.0,0.001157996057289569,0.0006997993761600133,-0.0,2.8399742180664563e-06,[ 0.05206197  0.         -8.82713705],[0.00647974 0.         0.12364086],-2.529966175826589e-06,-1.5667380799259538,3.08517452916102,-7.842083469689335e-05,0.5016607732691327,0.001339226730867288
0.060000000000000005,6.252982263815947e-05,0.0,-0.016483425762019242,0.0023544324373533723,0.0,-0.5442974636323408,1.5184364492350666,0.0,2.830679366272703,2.954486209422193,41.8581562,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,45.53802,0.001651008628376888,0.001002979926010654,2.3832758221103076,0.0,45.47561172624449,-7.141594738917927e-06,-0.0,0.0016509931824812355,0.0010029705427021646,-0.0,4.3384849962170245e-06,[ 0.05696074  0.         -8.73378842],[0.00647955 0.         0.12363717],-3.626431672994317e-06,-1.5664707182625421,3.084907167497609,-0.00011239566958254122,0.5014004934739499,0.0015995065260500758
0.07,8.878670871919508e-05,0.0,-0.022365675498113986,0.0029044545610425127,0.0,-0.6320094153329504,1.5184364492350666,0.0,2.830679366272703,2.9544817175947595,41.83118960000001,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,49.42278,0.0022248554099018624,0.0013587171817054005,2.5865884514846464,0.0,49.355047797677656,-1.0224409716833798e-05,-0.0,0.0022248319164412233,0.001358702834270288,-0.0,6.244037744309194e-06,[ 0.0618662   0.         -8.64033401],[0.00647931 0.         0.12363268],-4.913173431104873e-06,-1.56620077165911,3.0846372208941766,-0.00015226016497075023,0.5011427355406142,0.001857264459385807
0.08,0.00012076912839771826,0.0,-0.02912075267445637,0.0034995410401073125,0.0,-0.718862948785967,1.5184364492350666,0.0,2.830679366272703,2.954476667038444,41.8047258,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,53.30754000000001,0.0028769151419893464,0.0017662278918630153,2.7899010808589857,0.0,53.234483869110846,-1.4005122016730364e-05,-0.0,0.002876881052592352,0.0017662069633194828,-0.0,8.598181007796154e-06,[ 0.06677841  0.         -8.54677246],[0.00647905 0.         0.12362764],-6.3873787139706974e-06,-1.5659282035995015,3.084364652834568,-0.00019792541540126292,0.5008874994678603,0.0021125005321397704
0.09,0.00015892778141350514,0.0,-0.03674007302263838,0.004139703080595792,0.0,-0.8048580468992348,1.5184364492350666,0.0,2.830679366272703,2.954471233402862,41.7786245,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,57.19230000000001,0.0036045891957245443,0.0022247232584734033,2.993213710233325,0.0,57.11391994054402,-1.8539581834372813e-05,-0.0,0.0036045415178410033,0.002224693832069819,-0.0,1.1442479758365257e-05,[ 0.07169743  0.         -8.45310243],[0.00647877 0.         0.12362221],-8.04623516218901e-06,-1.5656529768681473,3.0840894261032137,-0.000249302561091753,0.5006347852513165,0.0023652147486834256
