TIME-ASYB,ALTITUD-ASYB,TIME-FTW,ALTITUD-FTW,HORZV,VERTV,HEAD,ax,ay,az,Rango (m)
3688703,5606.22,21:36.3,4261.285966,172,-642,-140,-0.75,0.01,0.97,3571.393416
3688853,5622.33,21:37.3,4061.520655,171,-667,-140,-0.65,-0.09,0.78,3622.733928
3689053,5644.11,21:38.4,3854.742202,167,-688,-140,-0.82,-0.01,0.93,3673.797072
3689203,5661.34,21:40.3,3421.73814,161,-733,-140,-0.67,0.1,0.75,3772.893648
3689353,5677.58,21:41.4,3195.8661,160,-751,-140,-0.67,-0.05,0.71,3820.701528
3689503,5694.23,21:42.3,2964.690235,156,-768,-140,-0.65,-0.2,0.63,3869.9694
3689703,5717.28,21:44.4,2485.142299,151,-805,-139,-0.68,0.04,0.66,3961.878792
3689853,5733.7,21:45.3,2238.204312,146,-820,-139,-0.58,-0.01,0.77,4006.425312
3690053,5753.9,21:46.3,1986.296256,144,-833,-139,-0.52,0.03,1.03,4049.118648
3690203,5768.61,21:47.4,1729.756154,142,-846,-141,-0.61,0.09,0.99,4092.985464
3690353,5783.41,21:48.4,1469.629166,139,-859,-140,-0.57,-0.01,0.93,4134.060312
3690503,5799.2,21:49.3,1206.181382,134,-871,-139,-0.55,0,0.85,4177.152936
3690653,5813.81,21:50.4,939.8852424,132,-880,-140,-0.52,-0.16,0.76,4215.222456
3690853,5831.72,21:51.3,670.630104,128,-889,-139,-0.46,-0.12,1.07,4255.303656
3691053,5849.6,21:52.5,398.506188,124,-897,-139,-0.47,0.04,0.93,4295.171496
3691203,5862.56,,,,,,-0.47,0.01,0.94,
3691353,5876.76,,,,,,-0.43,-0.04,0.81,
3691503,5890.04,,,,,,-0.49,0.05,0.84,
3691653,5902.89,,,,,,-0.36,0.03,1.01,
3691803,5914.93,,,,,,-0.31,0.05,0.73,
3691953,5927.33,,,,,,-0.42,-0.07,1.2,
3692153,5943.87,,,,,,-0.34,0,0.93,
3692353,5959.98,,,,,,-0.37,0.05,1.04,
3692503,5971.64,,,,,,-0.33,-0.06,0.88,
3692653,5983.52,,,,,,-0.36,0.09,1.06,
3692803,5995.81,,,,,,-0.32,-0.15,1,
3692953,6007.66,,,,,,-0.28,-0.02,0.91,
3693153,6022.13,,,,,,-0.29,-0.07,1,
3693353,6035.17,,,,,,-0.24,-0.11,0.97,
3693503,6045.38,,,,,,-0.2,-0.17,1.11,
3693653,6054.99,,,,,,-0.29,0.02,1.15,
3693803,6064.9,,,,,,-0.21,-0.17,1.18,
3693953,6074.4,,,,,,-0.09,-0.15,0.8,
3694103,6083.16,,,,,,-0.29,0.02,1.09,
3694253,6092.49,,,,,,-0.19,-0.17,0.84,
3694403,6101.16,,,,,,-0.2,-0.04,0.89,
3694553,6109.45,,,,,,-0.22,-0.01,1.11,
3694703,6117.78,,,,,,-0.25,-0.07,0.97,
3694853,6125.91,,,,,,-0.18,-0.11,1.32,
3695003,6133.62,,,,,,-0.11,0.02,1.34,
3695153,6141.68,,,,,,-0.14,-0.11,0.99,
3695303,6149.26,,,,,,-0.25,-0.13,1.44,
3695453,6156.02,,,,,,-0.1,-0.07,0.97,
3695603,6163.07,,,,,,-0.21,-0.05,0.88,
3695753,6169.38,,,,,,-0.2,0,1.1,
3695903,6175.72,,,,,,-0.05,0,0.87,
3696053,6181.93,,,,,,-0.05,-0.06,1.07,
3696253,6189.76,,,,,,-0.05,-0.1,0.96,
3696553,6201.37,,,,,,-0.07,-0.2,1.18,
3696703,6206.94,,,,,,-0.08,-0.13,0.92,
3696853,6212.95,,,,,,-0.1,-0.24,1.05,
3697153,6222.83,,,,,,-0.1,-0.12,1.54,
3697303,6227.37,,,,,,-0.03,-0.09,1.28,
3697453,6232.06,,,,,,-0.05,-0.14,1.04,
3697603,6236.18,,,,,,-0.08,-0.05,1.28,
3697753,6239.72,,,,,,-0.08,-0.04,1.34,
3697903,6242.94,,,,,,-0.11,-0.19,0.9,
3698053,6246.44,,,,,,0.07,-0.23,0.98,
3698203,6249.95,,,,,,-0.08,-0.11,1.16,
3698403,6253.17,,,,,,-0.03,-0.14,1.28,
3698603,6256.5,,,,,,-0.01,-0.27,1.22,
3698803,6260.12,,,,,,-0.03,-0.21,0.88,
3699103,6264.61,,,,,,-0.06,-0.25,1.33,
3699253,6266.24,,,,,,-0.02,-0.19,0.8,
3699403,6268.42,,,,,,0.01,-0.14,1.36,
3699553,6270.01,,,,,,0.12,-0.24,1.29,
3699703,6271.68,,,,,,-0.03,-0.17,1.53,
3699853,6272.73,,,,,,0.08,-0.23,1.37,
3700003,6273.93,,,,,,0.01,-0.25,1.22,
3700153,6274.47,,,,,,0.03,-0.21,1.28,
3700303,6274.87,,,,,,0.04,-0.23,1.35,
3700453,6275.2,,,,,,0.11,-0.29,1.18,
3700603,6275.38,,,,,,-0.03,-0.18,1.01,
3700753,6274.87,,,,,,0,-0.2,1.26,
3700903,6274.18,,,,,,-0.1,-0.14,1.32,
3701053,6273.27,,,,,,-0.06,-0.13,1.14,
3701203,6272.11,,,,,,-0.09,-0.16,1.09,
3701503,6270.19,,,,,,-0.11,-0.15,0.89,
3701653,6268.38,,,,,,-0.12,-0.16,1.15,
3701953,6264.58,,,,,,-0.1,-0.23,1.06,
3702253,6260.84,,,,,,-0.05,-0.13,1.2,
3702403,6258.31,,,,,,-0.02,-0.16,1.25,
3702703,6252.84,,,,,,-0.01,-0.21,1.24,
3702853,6249.59,,,,,,0,-0.18,1.24,
3703003,6245.97,,,,,,0.01,-0.14,1.14,
3703153,6242.57,,,,,,0.02,-0.17,1.13,
3703303,6239.29,,,,,,0.04,-0.24,1.2,
3703453,6235.13,,,,,,0.03,-0.34,1.23,
3703603,6230.73,,,,,,-0.06,-0.25,1.41,
3703753,6226.22,,,,,,-0.08,-0.11,1.17,
3703903,6220.99,,,,,,-0.21,-0.14,1.24,
3704053,6216.31,,,,,,-0.17,-0.2,1.09,
3704203,6211.48,,,,,,-0.08,-0.26,1.2,
3704403,6203.74,,,,,,-0.14,-0.06,1.28,
3704603,6196.48,,,,,,-0.14,-0.17,1.18,
3704753,6190.37,,,,,,-0.21,-0.14,1.32,
3704903,6184.33,,,,,,-0.15,-0.18,1.43,
3705053,6177.87,,,,,,-0.18,-0.17,1.16,
3705203,6171.46,,,,,,-0.2,-0.24,1.37,
3705653,6150.41,,,,,,-0.17,-0.24,1.14,
3705853,6140.47,,,,,,-0.14,-0.21,1.15,
3706003,6133.26,,,,,,-0.22,-0.29,1.22,
3706153,6125.55,,,,,,-0.16,-0.25,1.21,
3706303,6118.03,,,,,,-0.2,-0.37,1.19,
3706453,6109.84,,,,,,-0.27,-0.37,1.09,
3706603,6100.95,,,,,,-0.19,-0.28,1.47,
3706753,6092.28,,,,,,-0.28,-0.15,1.41,
3706903,6083.3,,,,,,-0.33,-0.23,1.38,
3707103,6071.17,,,,,,-0.4,-0.16,1.37,
3707303,6058.88,,,,,,-0.35,-0.35,1.29,
3707453,6049.05,,,,,,-0.37,-0.11,1.44,
3707603,6038.91,,,,,,-0.39,-0.25,1.29,
