tiempos,posiciones_x,posiciones_y,posiciones_z,velocidades_x,velocidades_y,velocidades_z,thetas,omegas,CPs,CGs,masavuelo,viento_vuelo_mags,viento_vuelo_dirs,viento_vuelo_vecs,wind_xs,wind_ys,wind_zs,Tmags,Dmags,Nmags,Txs,Tys,Tzs,Dxs,Dys,Dzs,Nxs,Nys,Nzs,accels,palancas,accangs,Gammas,Alphas,torcas,Cds,Machs,estabilidad
0.016145768374120153,0.0,0.0,0.0,0.0,0.0,-0.010531512201606778,1.53588974175501,0.0,3.134221098491882,2.48986098077751,46.53977664475515,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,1938.031442801562,6.200202644881809e-07,2.909797373089073e-07,67.63632194739652,0.0,1936.8508464104643,-0.0,-0.0,6.200202644881809e-07,2.909797373089073e-07,-0.0,0.0,[ 1.45330139  0.         31.79685695],[-0.02248784  0.         -0.64396759],2.875146815859741e-09,-1.5707963267948966,3.1066860685499065,1.7343860158462082e-07,0.5029690517241792,3.094827582084515e-05,4.239211300752446
0.020521781420571046,8.122080563652545e-06,0.0,0.00013911863446382542,0.0059791988195763805,0.0,0.12309165081129118,1.53588974175501,0.0,3.134221098491882,2.489717681247676,46.52530549266619,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,2369.0534375560082,8.484359440129007e-05,1.5561064705603423e-05,82.67877263203476,0.0,2367.610274211531,-4.1164390741015365e-06,-0.0,-8.474367492786604e-05,-1.554273859150756e-05,-0.0,7.549912900412699e-07,[ 1.77707061  0.         41.06840469],[-0.02249284  0.         -0.6441108 ],-1.7861042231998187e-07,1.5222593001853217,0.013630441569688179,-1.0773544282831878e-05,0.5026378520041461,0.00036214799585389436,4.2401540608171455
0.030380356197267148,0.00013671131133576226,0.0,0.003002306085438512,0.024918502863200267,0.0,0.574094344804412,1.53588974175501,0.0,3.134221098491882,2.489407635206326,46.4941910155733,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,3135.5261209937203,0.0018398166327936543,0.0002102710663403179,109.42828352022634,0.0,3133.6160431998915,-7.978192310442897e-05,-0.0,-0.0018380859846726266,-0.00021007327204963588,-0.0,9.118207622884898e-06,[ 2.35358421  0.         57.57772298],[-0.02250367  0.         -0.64442066],-2.414757719919767e-06,1.5274186623711647,0.00847107938384517,-0.00014563019750146275,0.5013113574659845,0.0016886425340154072,4.242193837404972
0.04063401318461297,0.0004642559843664309,0.0,0.010697660861361535,0.04878918134815661,0.0,1.16524862357059,1.53588974175501,0.0,3.134221098491882,2.4891003469086352,46.46359066598794,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,3697.551141720991,0.0075523020267563145,0.0007095175931593022,129.04267387782082,0.0,3695.298693469943,-0.0003159395038025301,-0.0,-0.007545690699550608,-0.0007088964775113894,-0.0,2.9681630253629192e-05,[ 2.77726381  0.         69.71065024],[-0.02251439  0.         -0.64472776],-8.151524376554265e-06,1.528950578742169,0.00693916301284081,-0.0004915218520961219,0.4995727583671556,0.0034272416328444163,4.244215470942413
0.05115828051565062,0.0010062902211889597,0.0,0.023769585409985257,0.07520063705678912,0.0,1.8320659004066284,1.53588974175501,0.0,3.134221098491882,2.488796930986154,46.43357172681849,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,4096.947914585611,0.018594564890273176,0.0015460761983409268,142.9814202353992,0.0,4094.4521646118737,-0.0007626071913529546,-0.0,-0.018578920144353833,-0.0015447753897746752,-0.0,6.340825043188768e-05,[ 3.0792185   0.         78.35805538],[-0.02252498  0.         -0.64503099],-1.7769249484015324e-05,1.5297724499846717,0.006117291770338262,-0.001071271767196128,0.4976116911150119,0.005388308884988074,4.246211628327156
0.06167740705866381,0.001737560559068526,0.0,0.04168442403376379,0.10215617819299658,0.0,2.5200445848752056,1.53588974175501,0.0,3.134221098491882,2.4885024615775895,46.404590675355244,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,4371.0113539542,0.035037417937178496,0.0026819356018610192,152.5460963339194,0.0,4368.348651938145,-0.001419161968795883,-0.0,-0.035008665141802266,-0.0026797347220555837,-0.0,0.00010862960894393333,[ 3.28721782  0.         84.31512991],[-0.02253526  0.         -0.64532528],-3.083446517576753e-05,1.5302810610399318,0.00560868071507814,-0.0018586404496496274,0.4955884218208959,0.007411578179104109,4.248148927067714
0.07172090953786588,0.002632839748410237,0.0,0.06384664208324314,0.1288498083068126,0.0,3.2058123407558696,1.53588974175501,0.0,3.134221098491882,2.488227147551617,46.37760475971973,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,4551.813906913613,0.05646871625430469,0.00407361270492902,158.8560144347302,0.0,4549.041064867417,-0.002267791323518141,-0.0,-0.056423160474419996,-0.004070326343629686,-0.0,0.00016359684016912753,[ 3.42513757  0.         88.26555786],[-0.02254486  0.         -0.64560043],-4.684898716002761e-05,1.5306253876811042,0.005264354073905686,-0.002823527286830294,0.49357167296203713,0.009428327037962847,4.249960203554375
0.08051611828941696,0.0037394910053866397,0.0,0.09144644887183527,0.1565482974508568,0.0,3.9202812236032134,1.53588974175501,0.0,3.134221098491882,2.4879894119890986,46.354371660444045,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,4664.451147513698,0.08408204144458868,0.005791601349175167,162.78699744163168,0.0,4661.609689903885,-0.003354967969200252,-0.0,-0.08401508128553568,-0.005786989109262226,-0.0,0.00023109140409804076,[ 3.51159663  0.         90.74256138],[-0.02255316  0.         -0.64583802],-6.662110737832989e-05,1.5308846073534745,0.005005134401535383,-0.004014629674481614,0.4914705287811771,0.011529471218822925,4.251524253307785
0.09068861951196616,0.005272269045537501,0.0,0.129909531215214,0.18894806974246325,0.0,4.758150436324241,1.53588974175501,0.0,3.134221098491882,2.4877172385523094,46.32783822098595,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,4757.167247227041,0.1232403693651667,0.008152912659520067,166.02274265784627,0.0,4754.269309474388,-0.004890070594759561,-0.0,-0.12314331427585092,-0.008146492022593793,-0.0,0.00032350047848226136,[ 3.58336828  0.         92.79939956],[-0.02256266  0.         -0.64611003],-9.380552711362135e-05,1.5311067777321579,0.004782964022852054,-0.005651912210570752,0.4890064893729672,0.013993510627032779,4.253314868023503
0.10243133299037105,0.007053472100615517,0.0,0.17482969234448367,0.22114659948957646,0.0,5.592398373929978,1.53588974175501,0.0,3.134221098491882,2.487405638030148,46.297532334947626,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,4829.390132577166,0.16938731712393776,0.010871378658215658,168.54328500696806,0.0,4826.448198594154,-0.006693045200177837,-0.0,-0.16925503345068896,-0.010862888613467295,-0.0,0.0004295636177674798,[ 3.64005856  0.         94.42460215],[-0.02257353  0.         -0.64642144],-0.00012512362528304172,1.531272776991693,0.004616964763316966,-0.00753754449221823,0.48655310283064446,0.01644689716935554,4.255364871458775
