Time (s),Oxidizer Mass (kg),Fuel Mass (kg)
2.535,8.0423236,1.6439659
2.536,8.0403483,1.6436444
2.537,8.0383731,1.6433228
2.538,8.0363979,1.6430013
2.539,8.0344228,1.6426797
2.54,8.0324478,1.6423582
2.541,8.0304729,1.6420367
2.542,8.0284981,1.6417152
2.543,8.0265233,1.6413937
2.544,8.0245486,1.6410722
2.545,8.0225741,1.6407507
2.546,8.0205995,1.6404293
2.547,8.0186251,1.6401078
2.548,8.0166508,1.6397864
2.549,8.0146765,1.639465
2.55,8.0127023,1.6391436
2.551,8.0107282,1.6388222
2.552,8.0087542,1.6385008
2.553,8.0067802,1.6381794
2.554,8.0048064,1.6378581
2.555,8.0028326,1.6375367
2.556,8.0008589,1.6372154
2.557,7.9988852,1.6368941
2.558,7.9969117,1.6365728
2.559,7.9949382,1.6362515
2.56,7.9929649,1.6359302
2.561,7.9909916,1.6356089
2.562,7.9890184,1.6352876
2.563,7.9870452,1.6349664
2.564,7.9850722,1.6346452
2.565,7.9830992,1.6343239
2.566,7.9811263,1.6340027
2.567,7.9791535,1.6336815
2.568,7.9771807,1.6333603
2.569,7.9752081,1.6330392
2.57,7.9732355,1.632718
2.571,7.971263,1.6323968
2.572,7.9692906,1.6320757
2.573,7.9673183,1.6317546
2.574,7.9653461,1.6314335
2.575,7.9633739,1.6311124
2.576,7.9614018,1.6307913
2.577,7.9594298,1.6304702
2.578,7.9574579,1.6301491
2.579,7.955486,1.6298281
2.58,7.9535143,1.629507
2.581,7.9515426,1.629186
2.582,7.949571,1.628865
2.583,7.9475995,1.628544
2.584,7.9456281,1.628223
2.585,7.9436567,1.627902
2.586,7.9416854,1.627581
2.587,7.9397142,1.6272601
2.588,7.9377431,1.6269391
2.589,7.9357721,1.6266182
2.59,7.9338011,1.6262973
2.591,7.9318303,1.6259764
2.592,7.9298595,1.6256555
2.593,7.9278888,1.6253346
2.594,7.9259182,1.6250137
2.595,7.9239476,1.6246928
2.596,7.9219771,1.624372
2.597,7.9200068,1.6240512
2.598,7.9180365,1.6237303
2.599,7.9160662,1.6234095
2.6,7.9140961,1.6230887
2.601,7.912126,1.6227679
2.602,7.9101561,1.6224472
2.603,7.9081862,1.6221264
2.604,7.9062164,1.6218056
2.605,7.9042466,1.6214849
2.606,7.902277,1.6211642
2.607,7.9003074,1.6208435
2.608,7.8983379,1.6205228
2.609,7.8963685,1.6202021
2.61,7.8943992,1.6198814
2.611,7.8924299,1.6195607
2.612,7.8904608,1.6192401
2.613,7.8884917,1.6189194
2.614,7.8865227,1.6185988
2.615,7.8845538,1.6182782
2.616,7.8825849,1.6179576
2.617,7.8806162,1.617637
2.618,7.8786475,1.6173164
2.619,7.8766789,1.6169958
2.62,7.8747104,1.6166753
2.621,7.8727419,1.6163547
2.622,7.8707736,1.6160342
2.623,7.8688053,1.6157137
2.624,7.8668371,1.6153932
2.625,7.864869,1.6150727
2.626,7.862901,1.6147522
2.627,7.860933,1.6144317
2.628,7.8589652,1.6141112
2.629,7.8569974,1.6137908
2.63,7.8550297,1.6134703
2.631,7.8530621,1.6131499
2.632,7.8510945,1.6128295
2.633,7.8491271,1.6125091
2.634,7.8471597,1.6121887
2.635,7.8451924,1.6118683
2.636,7.8432252,1.611548
2.637,7.841258,1.6112276
2.638,7.839291,1.6109073
2.639,7.837324,1.610587
2.64,7.8353571,1.6102666
2.641,7.8333903,1.6099463
2.642,7.8314236,1.609626
2.643,7.8294569,1.6093058
2.644,7.8274904,1.6089855
2.645,7.8255239,1.6086652
2.646,7.8235575,1.608345
2.647,7.8215912,1.6080248
2.648,7.8196249,1.6077045
2.649,7.8176588,1.6073843
2.65,7.8156927,1.6070641
2.651,7.8137267,1.606744
2.652,7.8117608,1.6064238
2.653,7.8097949,1.6061036
2.654,7.8078292,1.6057835
2.655,7.8058635,1.6054633
2.656,7.8038979,1.6051432
2.657,7.8019324,1.6048231
2.658,7.799967,1.604503
2.659,7.7980016,1.6041829
2.66,7.7960364,1.6038628
2.661,7.7940712,1.6035428
2.662,7.7921061,1.6032227
2.663,7.7901411,1.6029027
2.664,7.7881761,1.6025827
2.665,7.7862113,1.6022626
2.666,7.7842465,1.6019426
2.667,7.7822818,1.6016226
2.668,7.7803172,1.6013027
2.669,7.7783527,1.6009827
2.67,7.7763882,1.6006627
2.671,7.7744238,1.6003428
2.672,7.7724595,1.6000229
2.673,7.7704953,1.5997029
2.674,7.7685312,1.599383
2.675,7.7665672,1.5990631
2.676,7.7646032,1.5987433
2.677,7.7626393,1.5984234
2.678,7.7606755,1.5981035
2.679,7.7587118,1.5977837
2.68,7.7567482,1.5974638
2.681,7.7547846,1.597144
2.682,7.7528211,1.5968242
2.683,7.7508578,1.5965044
2.684,7.7488944,1.5961846
2.685,7.7469312,1.5958649
2.686,7.7449681,1.5955451
2.687,7.743005,1.5952253
2.688,7.741042,1.5949056
2.689,7.7390791,1.5945859
2.69,7.7371163,1.5942662
2.691,7.7351536,1.5939465
2.692,7.7331909,1.5936268
2.693,7.7312283,1.5933071
2.694,7.7292658,1.5929874
2.695,7.7273034,1.5926678
2.696,7.7253411,1.5923481
2.697,7.7233788,1.5920285
2.698,7.7214167,1.5917089
2.699,7.7194546,1.5913893
2.7,7.7174926,1.5910697
2.701,7.7155306,1.5907501
2.702,7.7135688,1.5904305
2.703,7.711607,1.5901109
2.704,7.7096454,1.5897914
2.705,7.7076838,1.5894719
2.706,7.7057222,1.5891523
2.707,7.7037608,1.5888328
2.708,7.7017995,1.5885133
2.709,7.6998382,1.5881938
2.71,7.697877,1.5878744
2.711,7.6959159,1.5875549
2.712,7.6939549,1.5872355
2.713,7.6919939,1.586916
2.714,7.6900331,1.5865966
2.715,7.6880723,1.5862772
2.716,7.6861116,1.5859578
2.717,7.684151,1.5856384
2.718,7.6821904,1.585319
2.719,7.68023,1.5849996
2.72,7.6782696,1.5846803
2.721,7.6763093,1.5843609
2.722,7.6743491,1.5840416
2.723,7.672389,1.5837223
2.724,7.6704289,1.583403
2.725,7.6684689,1.5830837
2.726,7.6665091,1.5827644
2.727,7.6645493,1.5824451
2.728,7.6625895,1.5821259
2.729,7.6606299,1.5818066
2.73,7.6586703,1.5814874
2.731,7.6567109,1.5811681
2.732,7.6547515,1.5808489
2.733,7.6527922,1.5805297
2.734,7.6508329,1.5802105
2.735,7.6488738,1.5798914
2.736,7.6469147,1.5795722
2.737,7.6449557,1.579253
2.738,7.6429968,1.5789339
2.739,7.641038,1.5786148
2.74,7.6390793,1.5782957
2.741,7.6371206,1.5779766
2.742,7.635162,1.5776575
2.743,7.6332035,1.5773384
2.744,7.6312451,1.5770193
2.745,7.6292868,1.5767003
2.746,7.6273286,1.5763812
2.747,7.6253704,1.5760622
2.748,7.6234123,1.5757432
2.749,7.6214543,1.5754242
2.75,7.6194964,1.5751052
2.751,7.6175385,1.5747862
2.752,7.6155808,1.5744672
2.753,7.6136231,1.5741482
2.754,7.6116655,1.5738293
2.755,7.609708,1.5735103
2.756,7.6077506,1.5731914
2.757,7.6057932,1.5728725
2.758,7.6038359,1.5725536
2.759,7.6018788,1.5722347
2.76,7.5999217,1.5719158
2.761,7.5979646,1.571597
2.762,7.5960077,1.5712781
2.763,7.5940508,1.5709593
2.764,7.5920941,1.5706404
2.765,7.5901374,1.5703216
2.766,7.5881808,1.5700028
2.767,7.5862242,1.569684
2.768,7.5842678,1.5693652
2.769,7.5823114,1.5690465
2.77,7.5803551,1.5687277
2.771,7.5783989,1.568409
2.772,7.5764428,1.5680902
2.773,7.5744868,1.5677715
2.774,7.5725308,1.5674528
2.775,7.5705749,1.5671341
2.776,7.5686191,1.5668154
2.777,7.5666634,1.5664967
2.778,7.5647078,1.5661781
2.779,7.5627522,1.5658594
2.78,7.5607968,1.5655408
2.781,7.5588414,1.5652221
2.782,7.5568861,1.5649035
2.783,7.5549309,1.5645849
2.784,7.5529757,1.5642663
2.785,7.5510207,1.5639478
2.786,7.5490657,1.5636292
2.787,7.5471108,1.5633106
2.788,7.545156,1.5629921
2.789,7.5432013,1.5626736
2.79,7.5412466,1.562355
2.791,7.5392921,1.5620365
2.792,7.5373376,1.561718
2.793,7.5353832,1.5613995
2.794,7.5334289,1.5610811
2.795,7.5314746,1.5607626
2.796,7.5295205,1.5604442
2.797,7.5275664,1.5601257
2.798,7.5256124,1.5598073
2.799,7.5236585,1.5594889
2.8,7.5217047,1.5591705
2.801,7.5197509,1.5588521
2.802,7.5177973,1.5585337
2.803,7.5158437,1.5582153
2.804,7.5138902,1.557897
2.805,7.5119368,1.5575786
2.806,7.5099834,1.5572603
2.807,7.5080302,1.556942
2.808,7.506077,1.5566237
2.809,7.5041239,1.5563054
2.81,7.5021709,1.5559871
2.811,7.500218,1.5556688
2.812,7.4982651,1.5553506
2.813,7.4963124,1.5550323
2.814,7.4943597,1.5547141
2.815,7.4924071,1.5543959
2.816,7.4904546,1.5540777
2.817,7.4885022,1.5537595
2.818,7.4865498,1.5534413
2.819,7.4845976,1.5531231
2.82,7.4826454,1.5528049
2.821,7.4806933,1.5524868
2.822,7.4787412,1.5521686
2.823,7.4767893,1.5518505
2.824,7.4748375,1.5515324
2.825,7.4728857,1.5512143
2.826,7.470934,1.5508962
2.827,7.4689824,1.5505781
2.828,7.4670308,1.55026
2.829,7.4650794,1.549942
2.83,7.463128,1.5496239
2.831,7.4611768,1.5493059
2.832,7.4592256,1.5489879
2.833,7.4572744,1.5486699
2.834,7.4553234,1.5483519
2.835,7.4533725,1.5480339
2.836,7.4514216,1.5477159
2.837,7.4494708,1.547398
2.838,7.4475201,1.54708
2.839,7.4455695,1.5467621
2.84,7.4436189,1.5464441
2.841,7.4416685,1.5461262
2.842,7.4397181,1.5458083
2.843,7.4377678,1.5454904
2.844,7.4358176,1.5451725
2.845,7.4338674,1.5448547
2.846,7.4319174,1.5445368
2.847,7.4299674,1.544219
2.848,7.4280176,1.5439011
2.849,7.4260677,1.5435833
2.85,7.424118,1.5432655
2.851,7.4221684,1.5429477
2.852,7.4202188,1.5426299
2.853,7.4182694,1.5423122
2.854,7.41632,1.5419944
2.855,7.4143707,1.5416766
2.856,7.4124214,1.5413589
2.857,7.4104723,1.5410412
2.858,7.4085232,1.5407235
2.859,7.4065743,1.5404058
2.86,7.4046254,1.5400881
2.861,7.4026765,1.5397704
2.862,7.4007278,1.5394527
2.863,7.3987792,1.5391351
2.864,7.3968306,1.5388174
2.865,7.3948821,1.5384998
2.866,7.3929337,1.5381822
2.867,7.3909854,1.5378646
2.868,7.3890372,1.537547
2.869,7.387089,1.5372294
2.87,7.3851409,1.5369118
2.871,7.3831929,1.5365942
2.872,7.381245,1.5362767
2.873,7.3792972,1.5359592
2.874,7.3773495,1.5356416
2.875,7.3754018,1.5353241
2.876,7.3734542,1.5350066
2.877,7.3715067,1.5346891
2.878,7.3695593,1.5343717
2.879,7.367612,1.5340542
2.88,7.3656647,1.5337367
2.881,7.3637176,1.5334193
2.882,7.3617705,1.5331019
2.883,7.3598235,1.5327844
2.884,7.3578766,1.532467
2.885,7.3559297,1.5321496
2.886,7.353983,1.5318323
2.887,7.3520363,1.5315149
2.888,7.3500897,1.5311975
2.889,7.3481432,1.5308802
2.89,7.3461968,1.5305628
2.891,7.3442504,1.5302455
2.892,7.3423042,1.5299282
2.893,7.340358,1.5296109
2.894,7.3384119,1.5292936
2.895,7.3364659,1.5289763
2.896,7.3345199,1.5286591
2.897,7.3325741,1.5283418
2.898,7.3306283,1.5280246
2.899,7.3286827,1.5277073
2.9,7.3267371,1.5273901
2.901,7.3247915,1.5270729
2.902,7.3228461,1.5267557
2.903,7.3209007,1.5264385
2.904,7.3189555,1.5261214
2.905,7.3170103,1.5258042
2.906,7.3150652,1.5254871
2.907,7.3131202,1.5251699
2.908,7.3111752,1.5248528
2.909,7.3092304,1.5245357
2.91,7.3072856,1.5242186
2.911,7.3053409,1.5239015
2.912,7.3033963,1.5235844
2.913,7.3014518,1.5232673
2.914,7.2995073,1.5229503
2.915,7.297563,1.5226333
2.916,7.2956187,1.5223162
2.917,7.2936745,1.5219992
2.918,7.2917304,1.5216822
2.919,7.2897863,1.5213652
2.92,7.2878424,1.5210482
2.921,7.2858985,1.5207312
2.922,7.2839547,1.5204143
2.923,7.282011,1.5200973
2.924,7.2800674,1.5197804
2.925,7.2781239,1.5194635
2.926,7.2761804,1.5191466
2.927,7.274237,1.5188297
2.928,7.2722938,1.5185128
2.929,7.2703506,1.5181959
2.93,7.2684074,1.517879
2.931,7.2664644,1.5175622
2.932,7.2645214,1.5172453
2.933,7.2625786,1.5169285
2.934,7.2606358,1.5166117
2.935,7.2586931,1.5162949
2.936,7.2567504,1.5159781
2.937,7.2548079,1.5156613
2.938,7.2528654,1.5153445
2.939,7.250923,1.5150278
2.94,7.2489807,1.514711
2.941,7.2470385,1.5143943
2.942,7.2450964,1.5140776
2.943,7.2431543,1.5137608
2.944,7.2412124,1.5134441
2.945,7.2392705,1.5131275
2.946,7.2373287,1.5128108
2.947,7.235387,1.5124941
2.948,7.2334453,1.5121775
2.949,7.2315038,1.5118608
2.95,7.2295623,1.5115442
2.951,7.2276209,1.5112276
2.952,7.2256796,1.510911
2.953,7.2237384,1.5105944
2.954,7.2217973,1.5102778
2.955,7.2198562,1.5099612
2.956,7.2179152,1.5096447
2.957,7.2159744,1.5093281
2.958,7.2140336,1.5090116
2.959,7.2120928,1.508695
2.96,7.2101522,1.5083785
2.961,7.2082116,1.508062
2.962,7.2062712,1.5077455
2.963,7.2043308,1.5074291
2.964,7.2023904,1.5071126
2.965,7.2004502,1.5067961
2.966,7.1985101,1.5064797
2.967,7.19657,1.5061633
2.968,7.19463,1.5058468
2.969,7.1926901,1.5055304
2.97,7.1907503,1.505214
2.971,7.1888106,1.5048977
2.972,7.1868709,1.5045813
2.973,7.1849314,1.5042649
2.974,7.1829919,1.5039486
2.975,7.1810525,1.5036322
2.976,7.1791132,1.5033159
2.977,7.1771739,1.5029996
2.978,7.1752348,1.5026833
2.979,7.1732957,1.502367
2.98,7.1713567,1.5020507
2.981,7.1694178,1.5017345
2.982,7.167479,1.5014182
2.983,7.1655403,1.501102
2.984,7.1636016,1.5007857
2.985,7.1616631,1.5004695
2.986,7.1597246,1.5001533
2.987,7.1577862,1.4998371
2.988,7.1558478,1.4995209
2.989,7.1539096,1.4992047
2.99,7.1519715,1.4988886
2.991,7.1500334,1.4985724
2.992,7.1480954,1.4982563
2.993,7.1461575,1.4979402
2.994,7.1442197,1.4976241
2.995,7.1422819,1.497308
2.996,7.1403443,1.4969919
2.997,7.1384067,1.4966758
2.998,7.1364692,1.4963597
2.999,7.1345318,1.4960437
3,7.1325945,1.4957276
3.001,7.1306572,1.4954116
3.002,7.1287201,1.4950956
3.003,7.126783,1.4947795
3.004,7.124846,1.4944635
3.005,7.1229091,1.4941476
3.006,7.1209722,1.4938316
3.007,7.1190355,1.4935156
3.008,7.1170988,1.4931997
3.009,7.1151623,1.4928837
3.01,7.1132258,1.4925678
3.011,7.1112893,1.4922519
3.012,7.109353,1.491936
3.013,7.1074168,1.4916201
3.014,7.1054806,1.4913042
3.015,7.1035445,1.4909883
3.016,7.1016085,1.4906725
3.017,7.0996726,1.4903566
3.018,7.0977368,1.4900408
3.019,7.095801,1.489725
3.02,7.0938654,1.4894092
3.021,7.0919298,1.4890934
3.022,7.0899943,1.4887776
3.023,7.0880589,1.4884618
3.024,7.0861235,1.488146
3.025,7.0841883,1.4878303
3.026,7.0822531,1.4875146
3.027,7.080318,1.4871988
3.028,7.078383,1.4868831
3.029,7.0764481,1.4865674
3.03,7.0745133,1.4862517
3.031,7.0725785,1.485936
3.032,7.0706439,1.4856204
3.033,7.0687093,1.4853047
3.034,7.0667748,1.484989
3.035,7.0648403,1.4846734
3.036,7.062906,1.4843578
3.037,7.0609718,1.4840422
3.038,7.0590376,1.4837266
3.039,7.0571035,1.483411
3.04,7.0551695,1.4830954
3.041,7.0532356,1.4827798
3.042,7.0513017,1.4824643
3.043,7.049368,1.4821487
3.044,7.0474343,1.4818332
3.045,7.0455007,1.4815177
3.046,7.0435672,1.4812022
3.047,7.0416338,1.4808867
3.048,7.0397005,1.4805712
3.049,7.0377672,1.4802557
3.05,7.035834,1.4799403
3.051,7.033901,1.4796248
3.052,7.031968,1.4793094
3.053,7.030035,1.478994
3.054,7.0281022,1.4786786
3.055,7.0261694,1.4783631
3.056,7.0242368,1.4780478
3.057,7.0223042,1.4777324
3.058,7.0203717,1.477417
3.059,7.0184392,1.4771017
3.06,7.0165069,1.4767863
3.061,7.0145747,1.476471
3.062,7.0126425,1.4761557
3.063,7.0107104,1.4758403
3.064,7.0087784,1.475525
3.065,7.0068465,1.4752098
3.066,7.0049146,1.4748945
3.067,7.0029829,1.4745792
3.068,7.0010512,1.474264
3.069,6.9991196,1.4739487
3.07,6.9971881,1.4736335
3.071,6.9952567,1.4733183
3.072,6.9933253,1.4730031
3.073,6.9913941,1.4726879
3.074,6.9894629,1.4723727
3.075,6.9875318,1.4720575
3.076,6.9856008,1.4717424
3.077,6.9836699,1.4714272
3.078,6.9817391,1.4711121
3.079,6.9798083,1.470797
3.08,6.9778776,1.4704819
3.081,6.975947,1.4701668
3.082,6.9740165,1.4698517
3.083,6.9720861,1.4695366
3.084,6.9701558,1.4692215
3.085,6.9682255,1.4689065
3.086,6.9662953,1.4685914
3.087,6.9643653,1.4682764
3.088,6.9624353,1.4679614
3.089,6.9605053,1.4676464
3.09,6.9585755,1.4673314
3.091,6.9566457,1.4670164
3.092,6.9547161,1.4667014
3.093,6.9527865,1.4663865
3.094,6.950857,1.4660715
3.095,6.9489276,1.4657566
3.096,6.9469982,1.4654417
3.097,6.945069,1.4651268
3.098,6.9431398,1.4648119
3.099,6.9412107,1.464497
3.1,6.9392817,1.4641821
3.101,6.9373528,1.4638672
3.102,6.9354239,1.4635524
3.103,6.9334952,1.4632375
3.104,6.9315665,1.4629227
3.105,6.9296379,1.4626079
3.106,6.9277094,1.4622931
3.107,6.925781,1.4619783
3.108,6.9238527,1.4616635
3.109,6.9219244,1.4613487
3.11,6.9199963,1.4610339
3.111,6.9180682,1.4607192
3.112,6.9161402,1.4604044
3.113,6.9142122,1.4600897
3.114,6.9122844,1.459775
3.115,6.9103567,1.4594603
3.116,6.908429,1.4591456
3.117,6.9065014,1.4588309
3.118,6.9045739,1.4585162
3.119,6.9026465,1.4582016
3.12,6.9007192,1.4578869
3.121,6.8987919,1.4575723
3.122,6.8968647,1.4572577
3.123,6.8949377,1.4569431
3.124,6.8930107,1.4566285
3.125,6.8910837,1.4563139
3.126,6.8891569,1.4559993
3.127,6.8872302,1.4556847
3.128,6.8853035,1.4553702
3.129,6.8833769,1.4550556
3.13,6.8814504,1.4547411
3.131,6.879524,1.4544266
3.132,6.8775977,1.4541121
3.133,6.8756714,1.4537976
3.134,6.8737453,1.4534831
3.135,6.8718192,1.4531686
3.136,6.8698932,1.4528542
3.137,6.8679673,1.4525397
3.138,6.8660415,1.4522253
3.139,6.8641157,1.4519109
3.14,6.86219,1.4515964
3.141,6.8602645,1.451282
3.142,6.858339,1.4509677
3.143,6.8564136,1.4506533
3.144,6.8544882,1.4503389
3.145,6.852563,1.4500245
3.146,6.8506378,1.4497102
3.147,6.8487128,1.4493959
3.148,6.8467878,1.4490815
3.149,6.8448629,1.4487672
3.15,6.842938,1.4484529
3.151,6.8410133,1.4481386
3.152,6.8390886,1.4478244
3.153,6.8371641,1.4475101
3.154,6.8352396,1.4471959
3.155,6.8333152,1.4468816
3.156,6.8313909,1.4465674
3.157,6.8294666,1.4462532
3.158,6.8275425,1.445939
3.159,6.8256184,1.4456248
3.16,6.8236944,1.4453106
3.161,6.8217705,1.4449964
3.162,6.8198467,1.4446823
3.163,6.8179229,1.4443681
3.164,6.8159993,1.444054
3.165,6.8140757,1.4437398
3.166,6.8121522,1.4434257
3.167,6.8102288,1.4431116
3.168,6.8083055,1.4427975
3.169,6.8063823,1.4424835
3.17,6.8044591,1.4421694
3.171,6.8025361,1.4418553
3.172,6.8006131,1.4415413
3.173,6.7986902,1.4412273
3.174,6.7967674,1.4409132
3.175,6.7948447,1.4405992
3.176,6.792922,1.4402852
3.177,6.7909995,1.4399712
3.178,6.789077,1.4396573
3.179,6.7871546,1.4393433
3.18,6.7852323,1.4390294
3.181,6.78331,1.4387154
3.182,6.7813879,1.4384015
3.183,6.7794658,1.4380876
3.184,6.7775439,1.4377737
3.185,6.775622,1.4374598
3.186,6.7737002,1.4371459
3.187,6.7717784,1.436832
3.188,6.7698568,1.4365182
3.189,6.7679353,1.4362043
3.19,6.7660138,1.4358905
3.191,6.7640924,1.4355766
3.192,6.7621711,1.4352628
3.193,6.7602499,1.434949
3.194,6.7583287,1.4346352
3.195,6.7564077,1.4343215
3.196,6.7544867,1.4340077
3.197,6.7525658,1.4336939
3.198,6.750645,1.4333802
3.199,6.7487243,1.4330665
3.2,6.7468037,1.4327527
3.201,6.7448831,1.432439
3.202,6.7429627,1.4321253
3.203,6.7410423,1.4318117
3.204,6.739122,1.431498
3.205,6.7372018,1.4311843
3.206,6.7352817,1.4308707
3.207,6.7333616,1.430557
3.208,6.7314417,1.4302434
3.209,6.7295218,1.4299298
3.21,6.727602,1.4296162
3.211,6.7256823,1.4293026
3.212,6.7237627,1.428989
3.213,6.7218431,1.4286754
3.214,6.7199237,1.4283619
3.215,6.7180043,1.4280483
3.216,6.716085,1.4277348
3.217,6.7141658,1.4274213
3.218,6.7122467,1.4271077
3.219,6.7103276,1.4267942
3.22,6.7084087,1.4264808
3.221,6.7064898,1.4261673
3.222,6.704571,1.4258538
3.223,6.7026523,1.4255404
3.224,6.7007337,1.4252269
3.225,6.6988152,1.4249135
3.226,6.6968968,1.4246001
3.227,6.6949784,1.4242866
3.228,6.6930601,1.4239732
3.229,6.6911419,1.4236599
3.23,6.6892238,1.4233465
3.231,6.6873058,1.4230331
3.232,6.6853878,1.4227198
3.233,6.68347,1.4224064
3.234,6.6815522,1.4220931
3.235,6.6796345,1.4217798
3.236,6.6777169,1.4214665
3.237,6.6757994,1.4211532
3.238,6.6738819,1.4208399
3.239,6.6719646,1.4205266
3.24,6.6700473,1.4202134
3.241,6.6681301,1.4199001
3.242,6.666213,1.4195869
3.243,6.664296,1.4192737
3.244,6.6623791,1.4189605
3.245,6.6604622,1.4186473
3.246,6.6585455,1.4183341
3.247,6.6566288,1.4180209
3.248,6.6547122,1.4177077
3.249,6.6527957,1.4173946
3.25,6.6508793,1.4170814
3.251,6.6489629,1.4167683
3.252,6.6470467,1.4164552
3.253,6.6451305,1.4161421
3.254,6.6432144,1.415829
3.255,6.6412984,1.4155159
3.256,6.6393825,1.4152028
3.257,6.6374666,1.4148897
3.258,6.6355509,1.4145767
3.259,6.6336352,1.4142636
3.26,6.6317196,1.4139506
3.261,6.6298041,1.4136376
3.262,6.6278887,1.4133246
3.263,6.6259734,1.4130116
3.264,6.6240581,1.4126986
3.265,6.622143,1.4123856
3.266,6.6202279,1.4120727
3.267,6.6183129,1.4117597
3.268,6.616398,1.4114468
3.269,6.6144832,1.4111339
3.27,6.6125684,1.4108209
3.271,6.6106538,1.410508
3.272,6.6087392,1.4101952
3.273,6.6068247,1.4098823
3.274,6.6049103,1.4095694
3.275,6.602996,1.4092566
3.276,6.6010817,1.4089437
3.277,6.5991676,1.4086309
3.278,6.5972535,1.4083181
3.279,6.5953395,1.4080052
3.28,6.5934256,1.4076924
3.281,6.5915118,1.4073797
3.282,6.5895981,1.4070669
3.283,6.5876845,1.4067541
3.284,6.5857709,1.4064414
3.285,6.5838574,1.4061286
3.286,6.581944,1.4058159
3.287,6.5800307,1.4055032
3.288,6.5781175,1.4051905
3.289,6.5762044,1.4048778
3.29,6.5742913,1.4045651
3.291,6.5723783,1.4042524
3.292,6.5704655,1.4039397
3.293,6.5685527,1.4036271
3.294,6.5666399,1.4033145
3.295,6.5647273,1.4030018
3.296,6.5628148,1.4026892
3.297,6.5609023,1.4023766
3.298,6.5589899,1.402064
3.299,6.5570776,1.4017514
3.3,6.5551654,1.4014389
3.301,6.5532533,1.4011263
3.302,6.5513413,1.4008138
3.303,6.5494293,1.4005012
3.304,6.5475174,1.4001887
3.305,6.5456056,1.3998762
3.306,6.5436939,1.3995637
3.307,6.5417823,1.3992512
3.308,6.5398708,1.3989387
3.309,6.5379593,1.3986263
3.31,6.536048,1.3983138
3.311,6.5341367,1.3980014
3.312,6.5322255,1.3976889
3.313,6.5303144,1.3973765
3.314,6.5284034,1.3970641
3.315,6.5264924,1.3967517
3.316,6.5245816,1.3964393
3.317,6.5226708,1.396127
3.318,6.5207601,1.3958146
3.319,6.5188495,1.3955022
3.32,6.516939,1.3951899
3.321,6.5150285,1.3948776
3.322,6.5131182,1.3945653
3.323,6.5112079,1.3942529
3.324,6.5092977,1.3939407
3.325,6.5073877,1.3936284
3.326,6.5054776,1.3933161
3.327,6.5035677,1.3930038
3.328,6.5016579,1.3926916
3.329,6.4997481,1.3923794
3.33,6.4978384,1.3920671
3.331,6.4959289,1.3917549
3.332,6.4940194,1.3914427
3.333,6.4921099,1.3911305
3.334,6.4902006,1.3908183
3.335,6.4882913,1.3905062
3.336,6.4863822,1.390194
3.337,6.4844731,1.3898819
3.338,6.4825641,1.3895697
3.339,6.4806552,1.3892576
3.34,6.4787464,1.3889455
3.341,6.4768376,1.3886334
3.342,6.474929,1.3883213
3.343,6.4730204,1.3880092
3.344,6.4711119,1.3876972
3.345,6.4692035,1.3873851
3.346,6.4672952,1.3870731
3.347,6.465387,1.3867611
3.348,6.4634788,1.386449
3.349,6.4615707,1.386137
3.35,6.4596628,1.385825
3.351,6.4577549,1.3855131
3.352,6.4558471,1.3852011
3.353,6.4539393,1.3848891
3.354,6.4520317,1.3845772
3.355,6.4501241,1.3842652
3.356,6.4482167,1.3839533
3.357,6.4463093,1.3836414
3.358,6.444402,1.3833295
3.359,6.4424948,1.3830176
3.36,6.4405876,1.3827057
3.361,6.4386806,1.3823938
3.362,6.4367736,1.382082
3.363,6.4348668,1.3817701
3.364,6.43296,1.3814583
3.365,6.4310533,1.3811465
3.366,6.4291466,1.3808347
3.367,6.4272401,1.3805229
3.368,6.4253336,1.3802111
3.369,6.4234273,1.3798993
3.37,6.421521,1.3795875
3.371,6.4196148,1.3792758
3.372,6.4177087,1.378964
3.373,6.4158027,1.3786523
3.374,6.4138967,1.3783406
3.375,6.4119909,1.3780289
3.376,6.4100851,1.3777172
3.377,6.4081794,1.3774055
3.378,6.4062738,1.3770938
3.379,6.4043683,1.3767821
3.38,6.4024628,1.3764705
3.381,6.4005575,1.3761588
3.382,6.3986522,1.3758472
3.383,6.396747,1.3755356
3.384,6.3948419,1.375224
3.385,6.3929369,1.3749124
3.386,6.391032,1.3746008
3.387,6.3891272,1.3742892
3.388,6.3872224,1.3739777
3.389,6.3853177,1.3736661
3.39,6.3834132,1.3733546
3.391,6.3815087,1.3730431
3.392,6.3796042,1.3727315
3.393,6.3776999,1.37242
3.394,6.3757957,1.3721085
3.395,6.3738915,1.3717971
3.396,6.3719874,1.3714856
3.397,6.3700834,1.3711741
3.398,6.3681795,1.3708627
3.399,6.3662757,1.3705513
3.4,6.364372,1.3702398
3.401,6.3624683,1.3699284
3.402,6.3605648,1.369617
3.403,6.3586613,1.3693056
3.404,6.3567579,1.3689943
3.405,6.3548546,1.3686829
3.406,6.3529513,1.3683715
3.407,6.3510482,1.3680602
3.408,6.3491452,1.3677489
3.409,6.3472422,1.3674375
3.41,6.3453393,1.3671262
3.411,6.3434365,1.3668149
3.412,6.3415338,1.3665036
3.413,6.3396312,1.3661924
3.414,6.3377286,1.3658811
3.415,6.3358261,1.3655698
3.416,6.3339238,1.3652586
3.417,6.3320215,1.3649474
3.418,6.3301193,1.3646362
