Time (s),Oxidizer Mass (kg),Fuel Mass (kg)
0.228,12.805937,2.4233454
0.229,12.803786,2.422987
0.23,12.801634,2.4226287
0.231,12.799483,2.4222704
0.232,12.797332,2.4219122
0.233,12.795181,2.421554
0.234,12.79303,2.4211958
0.235,12.790879,2.4208376
0.236,12.788728,2.4204794
0.237,12.786577,2.4201213
0.238,12.784427,2.4197632
0.239,12.782276,2.4194052
0.24,12.780126,2.4190471
0.241,12.777975,2.4186891
0.242,12.775825,2.4183311
0.243,12.773675,2.4179731
0.244,12.771525,2.4176152
0.245,12.769375,2.4172573
0.246,12.767225,2.4168994
0.247,12.765075,2.4165416
0.248,12.762925,2.4161837
0.249,12.760775,2.4158259
0.25,12.758626,2.4154681
0.251,12.756476,2.4151104
0.252,12.754327,2.4147526
0.253,12.752178,2.4143949
0.254,12.750028,2.4140373
0.255,12.747879,2.4136796
0.256,12.74573,2.413322
0.257,12.743581,2.4129644
0.258,12.741432,2.4126068
0.259,12.739283,2.4122492
0.26,12.737134,2.4118917
0.261,12.734986,2.4115342
0.262,12.732837,2.4111767
0.263,12.730689,2.4108193
0.264,12.72854,2.4104618
0.265,12.726392,2.4101044
0.266,12.724243,2.4097471
0.267,12.722095,2.4093897
0.268,12.719947,2.4090324
0.269,12.717799,2.4086751
0.27,12.715651,2.4083178
0.271,12.713503,2.4079605
0.272,12.711355,2.4076033
0.273,12.709207,2.4072461
0.274,12.70706,2.4068889
0.275,12.704912,2.4065318
0.276,12.702765,2.4061747
0.277,12.700617,2.4058175
0.278,12.69847,2.4054605
0.279,12.696323,2.4051034
0.28,12.694175,2.4047464
0.281,12.692028,2.4043894
0.282,12.689881,2.4040324
0.283,12.687734,2.4036754
0.284,12.685587,2.4033185
0.285,12.68344,2.4029616
0.286,12.681294,2.4026047
0.287,12.679147,2.4022478
0.288,12.677,2.401891
0.289,12.674854,2.4015342
0.29,12.672707,2.4011774
0.291,12.670561,2.4008206
0.292,12.668415,2.4004639
0.293,12.666268,2.4001072
0.294,12.664122,2.3997505
0.295,12.661976,2.3993938
0.296,12.65983,2.3990372
0.297,12.657684,2.3986805
0.298,12.655538,2.3983239
0.299,12.653393,2.3979674
0.3,12.651247,2.3976108
0.301,12.649101,2.3972543
0.302,12.646956,2.3968978
0.303,12.64481,2.3965413
0.304,12.642665,2.3961849
0.305,12.640519,2.3958284
0.306,12.638374,2.395472
0.307,12.636229,2.3951156
0.308,12.634084,2.3947593
0.309,12.631939,2.3944029
0.31,12.629794,2.3940466
0.311,12.627649,2.3936903
0.312,12.625504,2.3933341
0.313,12.623359,2.3929778
0.314,12.621215,2.3926216
0.315,12.61907,2.3922654
0.316,12.616926,2.3919092
0.317,12.614781,2.3915531
0.318,12.612637,2.391197
0.319,12.610492,2.3908409
0.32,12.608348,2.3904848
0.321,12.606204,2.3901287
0.322,12.60406,2.3897727
0.323,12.601916,2.3894167
0.324,12.599772,2.3890607
0.325,12.597628,2.3887048
0.326,12.595484,2.3883488
0.327,12.593341,2.3879929
0.328,12.591197,2.387637
0.329,12.589053,2.3872812
0.33,12.58691,2.3869253
0.331,12.584767,2.3865695
0.332,12.582623,2.3862137
0.333,12.58048,2.3858579
0.334,12.578337,2.3855022
0.335,12.576194,2.3851465
0.336,12.57405,2.3847907
0.337,12.571907,2.3844351
0.338,12.569765,2.3840794
0.339,12.567622,2.3837238
0.34,12.565479,2.3833682
0.341,12.563336,2.3830126
0.342,12.561194,2.382657
0.343,12.559051,2.3823015
0.344,12.556909,2.3819459
0.345,12.554766,2.3815904
0.346,12.552624,2.381235
0.347,12.550482,2.3808795
0.348,12.548339,2.3805241
0.349,12.546197,2.3801687
0.35,12.544055,2.3798133
0.351,12.541913,2.3794579
0.352,12.539771,2.3791026
0.353,12.537629,2.3787473
0.354,12.535488,2.378392
0.355,12.533346,2.3780367
0.356,12.531204,2.3776815
0.357,12.529063,2.3773263
0.358,12.526921,2.3769711
0.359,12.52478,2.3766159
0.36,12.522639,2.3762607
0.361,12.520497,2.3759056
0.362,12.518356,2.3755505
0.363,12.516215,2.3751954
0.364,12.514074,2.3748404
0.365,12.511933,2.3744853
0.366,12.509792,2.3741303
0.367,12.507651,2.3737753
